team;success;age;gender;education
10;1;28;1;4
10;1;28;1;4
10;1;27;1;3
10;1;25;2;4
11;1;38;2;2
11;1;22;2;2
11;1;40;1;2
11;1;27;2;4
11;1;28;2;3
19;0;29;2;4
19;0;29;2;3
19;0;24;2;3
19;0;29;2;4
20;0;26;2;4
20;0;16;2;1
20;0;20;1;3
20;0;26;1;4
20;0;17;2;1
22;1;20;1;3
22;1;20;2;3
22;1;19;1;3
22;1;20;2;3
22;1;22;1;3
23;0;31;2;4
23;0;35;2;4
23;0;32;1;4
23;0;34;1;4
24;0;21;2;3
24;0;18;1;1
24;0;19;1;3
24;0;24;1;2
26;1;22;1;3
26;1;22;1;3
26;1;22;1;3
26;1;21;1;3
26;1;22;1;3
27;0;40;2;4
27;0;33;2;4
27;0;24;1;4
27;0;32;1;4
27;0;28;1;4
28;0;35;2;4
28;0;25;2;2
28;0;37;1;3
28;0;23;1;4
29;0;69;1;4
29;0;64;2;4
29;0;37;2;4
29;0;32;2;4
31;0;46;2;3
31;0;43;2;3
31;0;45;1;2
31;0;48;1;3
32;1;39;1;3
32;1;38;2;4
32;1;37;1;4
32;1;34;2;4
33;0;26;2;4
33;0;18;2;1
33;0;25;1;3
33;0;29;1;4
34;0;30;2;2
34;0;24;2;2
34;0;28;1;3
34;0;35;1;2
34;0;27;2;3
36;0;58;2;4
36;0;57;1;4
36;0;35;1;3
36;0;30;2;3
38;1;21;1;3
38;1;19;1;3
38;1;18;2;1
38;1;18;1;3
39;0;42;2;4
39;0;31;2;3
39;0;28;1;3
39;0;38;1;4
40;0;24;2;3
40;0;24;2;4
40;0;24;2;4
40;0;23;2;4
41;0;36;2;4
41;0;29;2;4
41;0;46;2;2
41;0;49;2;2
42;1;29;1;4
42;1;35;2;4
42;1;25;2;4
42;1;29;2;4
42;1;28;2;4
44;1;40;2;4
44;1;35;2;4
44;1;23;2;4
44;1;56;2;4
44;1;34;2;4
45;0;61;1;4
45;0;27;1;4
45;0;52;2;4
45;0;56;2;4
46;0;40;2;4
46;0;44;1;4
46;0;41;2;4
46;0;46;1;4
46;0;25;1;4
48;0;27;1;3
48;0;53;2;4
48;0;47;1;4
48;0;40;2;4
49;1;41;1;4
49;1;41;1;4
49;1;41;1;4
49;1;41;1;4
51;0;35;1;4
51;0;30;2;3
51;0;35;2;4
51;0;35;1;3
52;1;32;1;4
52;1;41;1;4
52;1;36;1;4
52;1;36;1;4
52;1;35;1;4
53;0;43;1;4
53;0;41;1;3
53;0;39;2;4
53;0;37;2;4
53;0;37;1;2
54;0;19;2;3
54;0;19;2;3
54;0;19;1;1
54;0;18;1;1
56;0;25;2;4
56;0;33;1;4
56;0;28;1;4
56;0;24;2;4
57;0;23;1;3
57;0;31;1;4
57;0;35;1;3
57;0;28;2;2
58;0;28;1;3
58;0;25;2;3
58;0;37;1;4
58;0;29;2;4
59;0;22;1;3
59;0;23;2;2
59;0;25;1;3
59;0;19;2;3
60;0;42;2;4
60;0;43;1;4
60;0;17;1;1
60;0;15;2;1
61;1;28;1;4
61;1;26;1;4
61;1;30;1;4
61;1;36;2;4
62;0;14;1;3
62;0;19;2;1
62;0;18;2;1
62;0;21;1;3
63;1;29;2;4
63;1;30;1;4
63;1;29;1;4
63;1;25;2;4
64;1;22;2;3
64;1;24;2;3
64;1;26;2;3
64;1;31;2;4
65;1;18;1;1
65;1;17;2;1
65;1;18;1;1
65;1;19;1;3
